sub roi condition position similarity
s001 reslice-L-MBelt-ROI random 1 0.11867
s001 reslice-L-MIP-ROI intact 1 0.11844
s001 reslice-L-MIP-ROI scrambled 1 0.25696
s001 reslice-L-MIP-ROI random 1 0.07381
s001 reslice-L-MI-ROI intact 1 -0.07912
s001 reslice-L-MI-ROI scrambled 1 0.04955
s001 reslice-L-MI-ROI random 1 0.16485
s001 reslice-L-MST-ROI intact 1 0.16185
s001 reslice-L-MST-ROI scrambled 1 0.08952
s001 reslice-L-MST-ROI random 1 0.03787
s001 reslice-L-MT-ROI intact 1 -0.06203
s001 reslice-L-MT-ROI scrambled 1 0.11764
s001 reslice-L-MT-ROI random 1 -0.04165
s001 reslice-L-OFC-ROI intact 1 0.02654
s001 reslice-L-OFC-ROI scrambled 1 0.09925
s001 reslice-L-OFC-ROI random 1 0.05232
s001 reslice-L-OP1-ROI intact 1 0.01737
s001 reslice-L-OP1-ROI scrambled 1 0.11921
s001 reslice-L-OP1-ROI random 1 -0.13659
s001 reslice-L-OP2-3-ROI intact 1 0.02150
s001 reslice-L-OP2-3-ROI scrambled 1 0.02708
s001 reslice-L-OP2-3-ROI random 1 -0.17943
s001 reslice-L-OP4-ROI intact 1 0.14978
s001 reslice-L-OP4-ROI scrambled 1 0.22783
s001 reslice-L-OP4-ROI random 1 -0.03899
s001 reslice-L-PBelt-ROI intact 1 -0.05480
s001 reslice-L-PBelt-ROI scrambled 1 0.24768
s001 reslice-L-PBelt-ROI random 1 -0.06817
s001 reslice-L-PCV-ROI intact 1 -0.12146
s001 reslice-L-PCV-ROI scrambled 1 0.11681
s001 reslice-L-PCV-ROI random 1 -0.05502
s001 reslice-L-PEF-ROI intact 1 0.11147
s001 reslice-L-PEF-ROI scrambled 1 -0.16183
s001 reslice-L-PEF-ROI random 1 0.13673
s001 reslice-L-PF-ROI intact 1 0.03692
s001 reslice-L-PF-ROI scrambled 1 0.14749
s001 reslice-L-PF-ROI random 1 0.05379
s001 reslice-L-PFcm-ROI intact 1 0.05242
s001 reslice-L-PFcm-ROI scrambled 1 0.01370
s001 reslice-L-PFcm-ROI random 1 -0.07878
s001 reslice-L-PFm-ROI intact 1 -0.08438
s001 reslice-L-PFm-ROI scrambled 1 0.18675
s001 reslice-L-PFm-ROI random 1 -0.02805
s001 reslice-L-PFop-ROI intact 1 0.32417
s001 reslice-L-PFop-ROI scrambled 1 0.28303
s001 reslice-L-PFop-ROI random 1 0.11921
s001 reslice-L-PFt-ROI intact 1 0.19281
s001 reslice-L-PFt-ROI scrambled 1 0.09389
s001 reslice-L-PFt-ROI random 1 -0.00495
s001 reslice-L-PGi-ROI intact 1 -0.14320
s001 reslice-L-PGi-ROI scrambled 1 0.03001
s001 reslice-L-PGi-ROI random 1 0.00967
s001 reslice-L-PGp-ROI intact 1 -0.12190
s001 reslice-L-PGp-ROI scrambled 1 -0.20524
s001 reslice-L-PGp-ROI random 1 -0.07532
s001 reslice-L-PGs-ROI intact 1 -0.22292
s001 reslice-L-PGs-ROI scrambled 1 -0.02431
s001 reslice-L-PGs-ROI random 1 -0.02264
s001 reslice-L-PHA1-ROI intact 1 -0.05083
s001 reslice-L-PHA1-ROI scrambled 1 -0.16045
s001 reslice-L-PHA1-ROI random 1 -0.05801
s001 reslice-L-PHA2-ROI intact 1 -0.01201
s001 reslice-L-PHA2-ROI scrambled 1 0.03689
s001 reslice-L-PHA2-ROI random 1 -0.03099
s001 reslice-L-PHA3-ROI intact 1 -0.06652
s001 reslice-L-PHA3-ROI scrambled 1 -0.17131
s001 reslice-L-PHA3-ROI random 1 -0.02573
s001 reslice-L-PHT-ROI intact 1 -0.01540
s001 reslice-L-PHT-ROI scrambled 1 0.16132
s001 reslice-L-PHT-ROI random 1 0.13232
s001 reslice-L-PH-ROI intact 1 0.02000
s001 reslice-L-PH-ROI scrambled 1 0.10432
s001 reslice-L-PH-ROI random 1 0.15184
s001 reslice-L-PIT-ROI intact 1 0.05796
s001 reslice-L-PIT-ROI scrambled 1 -0.13283
s001 reslice-L-PIT-ROI random 1 0.09882
s001 reslice-L-PI-ROI intact 1 -0.06916
s001 reslice-L-PI-ROI scrambled 1 -0.01975
s001 reslice-L-PI-ROI random 1 0.33964
s001 reslice-L-POS1-ROI intact 1 0.04800
s001 reslice-L-POS1-ROI scrambled 1 0.11619
s001 reslice-L-POS1-ROI random 1 -0.03643
s001 reslice-L-POS2-ROI intact 1 0.05753
s001 reslice-L-POS2-ROI scrambled 1 0.14565
s001 reslice-L-POS2-ROI random 1 -0.08257
s001 reslice-L-PSL-ROI intact 1 -0.01251
s001 reslice-L-PSL-ROI scrambled 1 0.17758
s001 reslice-L-PSL-ROI random 1 0.13894
s001 reslice-L-PeEc-ROI intact 1 0.14767
s001 reslice-L-PeEc-ROI scrambled 1 -0.13545
s001 reslice-L-PeEc-ROI random 1 0.08906
s001 reslice-L-Pir-ROI intact 1 -0.00645
s001 reslice-L-Pir-ROI scrambled 1 -0.08002
s001 reslice-L-Pir-ROI random 1 0.23157
s001 reslice-L-PoI1-ROI intact 1 0.09054
s001 reslice-L-PoI1-ROI scrambled 1 0.10266
s001 reslice-L-PoI1-ROI random 1 0.18857
s001 reslice-L-PoI2-ROI intact 1 0.01274
s001 reslice-L-PoI2-ROI scrambled 1 0.12749
s001 reslice-L-PoI2-ROI random 1 0.13705
s001 reslice-L-PreS-ROI intact 1 0.00216
s001 reslice-L-PreS-ROI scrambled 1 -0.13485
s001 reslice-L-PreS-ROI random 1 -0.00098
s001 reslice-L-ProS-ROI intact 1 -0.11107
s001 reslice-L-ProS-ROI scrambled 1 -0.10879
s001 reslice-L-ProS-ROI random 1 0.02219
